typing_duration_sec,char_per_sec,avg_dwell_time_ms,std_dev_dwell_time_ms,avg_flight_time_ms,std_dev_flight_time_ms,backspace_ratio,total_mouse_distance_px,avg_mouse_speed_px_sec,max_mouse_speed_px_sec,std_dev_mouse_speed_px_sec,mouse_movement_width,mouse_movement_height,mouse_movement_area_px,num_clicks,avg_hover_time_ms,std_dev_hover_time_ms,off_target_click_ratio,clicks_per_sec,avg_time_between_clicks_ms,std_dev_time_between_clicks_ms,screen_width,screen_height,screen_aspect_ratio,viewport_width,viewport_height,viewport_aspect_ratio,fingerprint_hash,label,browser_Chrome,browser_Edge,browser_Firefox,browser_Safari,os_Linux,os_Windows,os_macOS,tz_America/New_York,tz_Asia/Kolkata,tz_Europe/London
2.175,11.954022988505749,76.0,14.688771221582831,112.07692307692308,149.0774192259744,0.0,6396.8667181472,8725.58341602408,76527.77273643864,15795.634071632703,269,233,62677,4,330.25,147.50225986969375,0.0,0.8169934640522876,1632.0,330.0469663547902,1440,900,1.6,1284,722,1.778393351800554,-6957842447610392000,0,0,0,0,1,0,1,0,0,1,0
0.51,21.56862745098039,73.45454545454545,15.539392757528438,97.66666666666667,89.05653635004376,0.0,1331.5270286333537,2839.6806820415773,38897.300677553445,6303.406212775976,110,86,9460,5,214.4,123.47995788790989,0.0,0.6975446428571428,1792.0,1191.1837249839618,1440,900,1.6,930,610,1.5245901639344261,-8398101220709503721,0,1,0,0,0,1,0,0,1,0,0
5.148,7.187257187257187,75.1891891891892,15.086487401052047,130.43478260869566,187.11489569172016,0.0,6005.467046911197,4443.851885170815,33470.13594235912,6792.490586943423,277,151,41827,9,314.3333333333333,108.96559089914577,0.0,0.6752701080432173,1666.0,1676.1500955633844,1440,900,1.6,1336,899,1.486095661846496,8136455158495044668,0,0,0,1,0,0,1,0,1,0,0
2.538,7.486209613869189,73.3157894736842,13.552583319053348,124.91666666666667,173.63308143812043,0.0,6799.69780821434,6551.606242652513,116275.53482998906,16983.610491158477,239,253,60467,4,208.25,126.62641904436846,0.0,1.2012012012012012,1110.0,914.3916010112954,1366,768,1.7786458333333333,1026,644,1.593167701863354,-848903285540264196,0,1,0,0,0,0,1,0,1,0,0
21.825,5.452462772050401,142.18487394957984,156.08797858066853,872.8,1509.8467839854186,0.17647058823529413,10023.15412965234,85828.30698936306,709086.2077349975,181568.7274086582,1613,836,1348468,10,99.4,109.00479092427288,0.4,0.5793071486502144,1918.0,2817.4985359357333,1366,768,1.7786458333333333,1256,823,1.526123936816525,-4296551143133404769,1,0,1,0,0,1,0,0,0,0,1
27.556,3.5201045144433154,182.5257731958763,177.10402385694977,1040.6,2457.3453903240666,0.13402061855670103,148883.5672211847,126177.44624747774,1758775.141966704,257516.59512612972,1910,1075,2053250,18,205.72222222222223,160.59587774196578,0.4444444444444444,0.7616790792146242,1390.1176470588234,1745.415598158249,1920,1080,1.7777777777777777,839,738,1.1368563685636857,-329113055173068393,1,0,0,1,0,1,0,0,1,0,0
2.94,12.244897959183673,76.5,14.049911031746785,81.76190476190476,80.94436655006002,0.0,3902.6742801768296,3963.853120097054,52693.03137565304,8646.193814693705,199,90,17910,5,287.0,109.4486180817282,0.0,1.458151064450277,857.25,789.9204073829211,1366,768,1.7786458333333333,1379,686,2.010204081632653,-1726909145942051779,0,0,1,0,0,0,0,1,1,0,0
1.196,11.705685618729097,73.85714285714286,14.80050489189288,124.0,151.66033477101763,0.0,5574.421419998768,6425.975885171676,128390.03076563227,16095.894145927785,148,193,28564,2,412.5,65.76093065034893,0.0,1.394700139470014,1434.0,0.0,1366,768,1.7786458333333333,1556,890,1.7483146067415731,2512985825246017108,0,1,0,0,0,0,0,1,0,0,1
1.32,59.090909090909086,156.23076923076923,168.3280596464406,843.5263157894736,1390.7310684291797,0.14102564102564102,26803.740349281954,130570.42567680516,1069022.9183698543,273765.15019836905,1809,550,994950,18,203.16666666666666,176.57334753247312,0.4444444444444444,0.6050420168067226,1750.0,2760.5617634822083,1920,1080,1.7777777777777777,1282,625,2.0512,-7268233878337639740,1,0,0,1,0,0,0,1,1,0,0
2.044,42.07436399217221,193.32558139534885,175.57156689680474,588.0,857.1696289109133,0.13953488372093023,98825.58763105578,94264.29085535626,1305957.503137066,181873.48876137036,1751,1055,1847305,20,185.35,159.47818692618486,0.45,0.603536725209729,1744.1052631578948,2373.739358872336,1920,1080,1.7777777777777777,1456,818,1.7799511002444988,69538700992390319,1,0,0,0,1,0,1,0,0,0,1
