typing_duration_sec,char_per_sec,avg_dwell_time_ms,std_dev_dwell_time_ms,avg_flight_time_ms,std_dev_flight_time_ms,backspace_ratio,total_mouse_distance_px,avg_mouse_speed_px_sec,max_mouse_speed_px_sec,std_dev_mouse_speed_px_sec,mouse_movement_width,mouse_movement_height,mouse_movement_area_px,num_clicks,avg_hover_time_ms,std_dev_hover_time_ms,off_target_click_ratio,clicks_per_sec,avg_time_between_clicks_ms,std_dev_time_between_clicks_ms,screen_width,screen_height,screen_aspect_ratio,viewport_width,viewport_height,viewport_aspect_ratio,fingerprint_hash,time_of_day_sin,time_of_day_cos,day_of_week_sin,day_of_week_cos,distance_from_trusted_loc,is_impossible_travel,label,browser_chrome,browser_edge,browser_firefox,browser_safari,os_linux,os_macos,os_windows,tz_America/New_York,tz_Asia/Kolkata,tz_Europe/London
3.836,8.08133472367049,73.06451612903226,14.993188417569199,527.5,569.6409860088866,0.0,990.7226154847683,2630.7940027718687,25848.114051125664,5023.921760686534,77,91,7007,4,199.5,65.19969325081216,0.0,0.8835873647006848,1509.0,913.7171334718421,1440,900,1.6,1262,743,1.6985195154777928,6266141494054286871,0.49999999999999994,-0.8660254037844387,0.0,1.0,9.783093673580488,0,0,0,0,1,0,0,0,1,0,1,0
5.434,8.465218991534782,74.78260869565217,14.886105443187633,553.48,642.8148463334264,0.0,3178.3683872585066,3849.3434652921096,20904.05682724611,4861.015096331761,92,160,14720,6,300.1666666666667,93.15667805727438,0.0,0.9823182711198429,1221.6,1048.1847642472198,1920,1080,1.7777777777777777,957,844,1.1338862559241707,-4530405815766094542,0.49999999999999994,-0.8660254037844387,0.0,1.0,6.781777666477101,0,0,0,0,1,0,1,0,0,0,1,0
4.69,8.315565031982942,74.43589743589743,14.341318429802515,629.7368421052631,418.46489858174397,0.0,3977.520947219685,4964.542802990553,40234.037552522335,8062.851826190581,167,224,37408,10,322.5,97.92202113019432,0.0,0.6290890790135882,1766.2222222222222,1707.7960049269482,1920,1080,1.7777777777777777,1517,742,2.0444743935309972,-752672706341590618,0.49999999999999994,-0.8660254037844387,0.0,1.0,2.5099525959548883,0,0,1,0,0,0,1,0,0,0,1,0
1.008,9.920634920634921,72.1,14.29413244034846,164.8,118.3604663728561,0.0,4658.856654137876,6431.034590490944,176139.14953808536,20179.00776791864,122,254,30988,8,297.625,129.6599260703608,0.0,0.7486430844095078,1526.5714285714287,745.7704868440552,1366,768,1.7786458333333333,1170,797,1.468005018820577,-3427763131264022438,0.49999999999999994,-0.8660254037844387,0.0,1.0,14.448504085482607,0,0,0,1,0,0,0,1,0,1,0,0
5.328,7.319819819819819,73.53846153846153,13.662946730494264,654.0,679.7274221487997,0.0,1192.4507202552381,1595.4673140972268,9171.96816392207,2001.064639923972,70,63,4410,10,263.8,89.59141823981928,0.0,0.8692628650904034,1278.2222222222222,1069.9502065257263,1366,768,1.7786458333333333,923,636,1.45125786163522,2572241173533487431,0.49999999999999994,-0.8660254037844387,0.0,1.0,7.851654812239328,0,0,0,1,0,0,0,1,0,0,1,0
5.7,8.24561403508772,73.31914893617021,13.700375086865835,618.5,763.8142376619936,0.0,1586.6797508679438,1651.284184794554,9903.534722511959,1926.160337218096,68,113,7684,9,327.44444444444446,118.9234113948039,0.0,0.9079903147699757,1239.0,986.9653344614346,1440,900,1.6,1052,784,1.3418367346938775,-6841252954084812592,0.49999999999999994,-0.8660254037844387,0.0,1.0,10.992205003362914,0,0,0,0,1,0,0,0,1,0,1,0
1.56,9.615384615384615,77.4,13.741490873575962,135.66666666666666,110.85012404142812,0.0,4512.530831717896,5030.647120654866,126178.44506887854,14588.16371204541,107,156,16692,4,347.5,110.90085662428402,0.0,2.4645717806531113,541.0,322.88697712976904,1440,900,1.6,1326,880,1.5068181818181818,-5389408424053459231,0.49999999999999994,-0.8660254037844387,0.0,1.0,10.091915991671286,0,0,1,0,0,0,0,1,0,0,1,0
1.584,10.1010101010101,72.5,14.737706741552431,201.6,205.2690375526172,0.0,3354.4544412004134,6851.223219153354,60452.460661250174,11428.995820859913,230,114,26220,8,241.5,64.93733242794274,0.0,0.7149240393208222,1598.5714285714287,1846.9369107744187,1440,900,1.6,1399,693,2.018759018759019,-2571032286598156334,0.49999999999999994,-0.8660254037844387,0.0,1.0,1.0115310714525476,0,0,1,0,0,0,0,0,1,0,0,1
43.349,1.9838981291379272,187.61627906976744,174.09336025482227,12302.538461538461,13252.923800243505,0.06976744186046512,58483.76830046496,85432.08103697708,1049253.067662897,168214.19784171908,1793,969,1737417,15,261.3333333333333,168.27302078411,0.5333333333333333,0.5880508075897758,1822.0,2311.7156798826677,1440,900,1.6,1529,736,2.077445652173913,2053329879872516856,0.49999999999999994,-0.8660254037844387,0.0,1.0,12.503602890912815,0,1,0,0,0,1,1,0,0,0,0,1
4.587,8.502289077828646,75.74358974358974,15.203389422511139,514.8695652173913,592.8018451961702,0.0,3442.27977416505,3504.918263049044,24709.562926122348,4932.022336419423,106,217,23002,7,320.7142857142857,142.83757008774487,0.0,0.6565372350403301,1777.0,1288.8132525699757,1440,900,1.6,1186,753,1.5750332005312084,2003375789805348156,0.49999999999999994,-0.8660254037844387,0.0,1.0,8.601072623575883,0,0,0,1,0,0,0,0,1,0,1,0
